esp,ing
"Quería comprar una botella de agua por favor.","I'd like to buy a bottle of water, please"
Estaba a punto de salir del restaurante cuando llegaron mis amigos.,I was about to leave the restaurant when my friends arrived.
¡Ya lo creo! / ¡Por supuesto! (Do you fancy a beer? not half,Not half!
"Hola, está la señora Smith, por favor?","Hi, is Mrs. Smith there please?"
"Puedo hablar con la señora Smith, por favor?","May I speak to Mrs. Smith please?"
No es tan difícil (si alguien está intentando hacer algo fácil y no sabe cómo),This is not rocket science
Estar entre la espada y la pared,To be between the devil and the deep/between a rock and a hard place
Coger algo con pinzas (sobre algo que te han dicho),To take [something] with a pinch of salt
Espero que tu y tu mujer tengáis un buen viaje.,I hope you and your wife have a nice trip.
Le gusta el zumo - pero no le gusta la leche.,He likes juice but he doesn't like milk
Todavía tengo que cepillar mis dientes y tomar una ducha.,I still have to brush my teeth and take a shower
Estaba a punto de salir del restaurante cuando llegaron mis amigos.,I was about leave the restaurant when my friend arrived
Fui al supermercado y después a la tienda de ordenadores.,I want to the supermarket and then to the computer store
"Quería un poco de agua también, por favor.","I'd like some wáter too, please"
¿Te has vuelto loco? ¿Cómo se te ocurre algo así?,Are you out of your mind?
Estar en misa y repicando / Intentar estar en todo a la vez,To have a finger in every pie
Estoy muy ocupado. No tengo tiempo ahora.,I’m very busy. I don’t have time now.
Espero que tú y tu mujer tengais un buen viaje.,I hope you and your wife have a nice trip
"Si necesitas mi ayuda, dimelo.","If you need my help, please let me know"
Sabes dónde hay una tienda que vende toallas?,Do you know where there's a store that sells towels?
Estoy muy ocupado. No tengo tiempo ahora.,I'm very busy. I don't have time now.
dentro por un penique- dentro por una libra (UK),In for a penny in for a pound
dentro por diez céntimos- dentro por un dólar (US),In for a dime in for a dollar
No es para tanto,It’s not a big deal / It’s not that of a big deal
(Vejiga del tamaño de un cacahuete)… para los que no paran de ir al baño,Peanut bladder
Tener el mismo punto de vista / Ver de la misma manera,To see eye to eye with somebody
Boca abajo / patas arriba / del revés / invertido (dado la vuelta),Upside down
¿Cuánto tiempo te vas aquedar en California?.,How long are you going to stay in California?
"Si te gusta, puedo comprar más.","If you like it I can buy more"
Estoy muy ocupado. No tengo tiempo ahora.,I'm very busy. I don't have time now
Crees que volverás a las once y media?,Do you think you'll be back by 11.30?
Vas a ir en avion o en tren?,Are you going to take a plane or train?
Puedo tener una cita para el miércoles que viene?,Can I make an appointment for next Wednesday?
Trabaja en una empresa de ordenadores en New York.,He works at a computer company in New York
¿Cuántas personas hay en tu familia?.,How many people do you have in your family?
Quiero enviar este paquete a los Estados Unidos.,I want to send this package to the United States
Quería el número del Hilton Hotel por favor.,I'd like the number for the Hilton Hotel please
Quería comprar una tarjeta para el teléfono por favor.,I'd like to buy a phone card please
Quería comer en el restaurant de la calle quinta.,I'd like to eat at 5th street restaurant
Quería hablar con la señora Smith por favor.,I'd like to speak to Mr. Smith please
"Perdoname, pero no hay más.","I'm sorry, we're sold out"
Sabes cómo llegar al Marriott hotel?,Do you know how to get to the Marriott Hotel?.
Sabes dónde puedo ir para coger un taxi?,Do you know where I can get a taxi?
Me levanto todos los días a las 6 de la mañana,Everyday I get up at 6 AM.
He oído que Texas es un sitio muy bonito.,I've heard Texas is a beautiful place.
Que me lo digan a mí a mí me lo vas a contar,Tell me about it!
Como tú quieras / Depende de ti (en tono amable),It’s up to you
Mejor malo conocido que bueno por conocer,New brush sweeps clean but old broom knows all the corners
¡Espabila! / ¡levántate! / ¡muévete!,Shake/show a leg!
Esta es la gota que colma el vaso,That’s the straw that brokes the camel’s back
Tener cuentas que ajustar (con alguien),To have a bone to pick (with someone)
Lo tienes claro ¡La llevas clara! (connotación irónica),You’ve got another thing coming
Te llevare’ a la parada de autobuses.,I’ll take you to the bus stop.
Puedo tener un vaso de agua por favor?,Can I have a glass of water please?
¿Cuánto tiempo tarda en llegar a Georgia?,How long does it take get to Georgia?
¿Cuántas personas hay en New York?.,How many people are there in New York?
Quería un cuarto con dos camas por favor.,I'd like a room with two beds please
Me gustaría una mesa cerca de la ventana.,I'd like a table a near the window
Nieva mucho en el invierno en Massachusetts?,Does it often snow in the winter in Massachusetts?
"Perdona, qué has dicho?","Excuse me, what did you say?"
Te llevare' a la parada de autobuses.,I'll take you to the bus stop.
¡Me muero de hambre!,I’m starving! (I could eat a horse)
Es agua pasada (cuando se hacen las paces por ejemplo),Is water under the bridge
Perdón por lo que voy a decir/acabo de decir (palabras malsonantes),Pardon my French
Perdoname pero no hay mas/hemos vendido todo.,I’m sorry we’re sold out.
¿Cómo llego a la embajada americana?,How do I get to the American Embassy?
¿Cuánto tiempo te vas a quedar?.,How long are you going to stay?
¿Cuánto tiempo has estado en América?.,How long have you been in America?
¿Cuántas horas trabajas a la semana?,How many hours a week do you work?
¿Cuánto cuesta ir para Miami?.,How much is it to go to Miami?
Creo que tengo que ver a un doctor.,I think I need to see a doctor
"Estoy bien, y tú?","I'm good, and you?"
Es este el autobus a New York?.,Is this the bus to New York?
¡La he cagado!,I’ve screwed up!/ I’ve messed up!
Tengo que consultarlo con la almohada,Will I marry you? Let me sleep on it
Ninguna posibilidad / Ni de coña,Not a chance / No way in hell
Así de cabeza… | Creo recordar que…,Off the top of my head
Por un lado … por otro lado,On one hand… on the other hand
Vete por ahí /no me cuentes milongas/no me cuentes historias,On your bike!
Cuando sirves algo dices “say when” para que te digan cuando parar,Say when
Mucho / Un montón, (I love you so bad) So bad/badly
Entre la espada y la pared,To be caught between a rock and a hard place
¡Qué vergüenza!/¡Que pena!/¡Qué lástima!,What a shame!
¿Quién es? (al responder una llamada de teléfono),Who is this?
Si necesitas mi ayuda dimelo.,If you need my help please let me know.
Te llamare’ en cuanto me vaya.,I’ll call you when I leave.
He estado aqui desde hace dos dias.,I’ve been here for two days.
Nos puedes traer más pan por favor?,Can we have some more bread please?
¿Tú hermano ha estado alguna vezen California?,Has you brother been to California?
¿Alguna vez has probado sopa de patata?,Have you ever had Potato soup?
¿Cómo llego a la calle Daniel?,How do I get to Daniel Street?
¿Cúanto tiempo tarda en coche?.,How long does it take by car?
¿Cuánto tiempo te vas a quedar?.,How long will you be staying?
¿Cuántas millas hay a Pennsylvania?.,How many miles is it to Pennsylvania?
Tengo que ir al apartado de correos.,I have to go to the post office
Todavia tengo muchas cosas que comprar.,I still have a lot of things to buy
Creo que esos zapatos son muy bonitos.,I think those shoes are very good looking
Me gustaría un mapa de la ciudad.,I'd like a map of the city
Me gustaría llamar a los Estados Unidos.,I'd like to call the united States
Te llevaré a la parade de autobuses.,I'll take you to the bus stop
Está cerca?,Is it close?
Hace frío fuera?,Is it cold outside? 
Se supone que va a llover mañana?, Is it supposed to rain tomorrow?
Hay un restaurante en el hotel?.,Is there a restaurant in the hotel?
