esp,ing
"Yo fui al mercado","I went to the market"
"Ella hizo una tarta","She made a pie"
"Nosotros vimos una película","We saw a movie"
"Él escribió una carta","He wrote a letter"
"Tú bebiste agua","You drank water"
"Ellas vinieron a la fiesta","They came to the party"
"Yo leí un libro","I read a book"
"Nosotros tuvimos una idea","We had an idea"
"Él vendió su coche","He sold his car"
"Tú corriste en el parque","You ran in the park"
"Nos reunimos en la sala de conferencias a las 10 a.m.","We met in the conference room at 10 a.m."
"El director habló sobre el éxito en la reunión anual","The director spoke about success at the annual meeting"
"Ellos trabajaron en el proyecto toda la noche","They worked on the project all night"
"La compañía invirtió en nuevas tecnologías el año pasado","The company invested in new technologies last year"
"El equipo presentó el informe en la reunión","The team presented the report at the meeting"
"Nosotros decidimos sobre la nueva estrategia el lunes","We decided on the new strategy on Monday"
"El gerente confió en los datos para tomar la decisión","The manager relied on the data to make the decision"
"Ellos lanzaron el nuevo producto en marzo","They launched the new product in March"
"Yo me encontré con el cliente en la feria comercial","I met with the client at the trade fair"
"La empresa creció rápidamente en el último cuarto","The company grew rapidly in the last quarter"
"Nosotros acordamos los términos del contrato en la reunión de ayer","We agreed on the terms of the contract at yesterday's meeting"
"Ellos basaron su decisión en la información proporcionada","They based their decision on the information provided"
"Nos enfocamos en alcanzar un compromiso durante las discusiones","We focused on reaching a compromise during the discussions"
"El vendedor insistió en una cláusula de exclusividad en el acuerdo","The seller insisted on an exclusivity clause in the agreement"
"El comprador se comprometió a pagar el monto total en treinta días","The buyer committed to paying the full amount in thirty days"
"El mediador intervino en la disputa para facilitar un acuerdo","The mediator intervened in the dispute to facilitate an agreement"
"Nos apoyamos en datos de mercado para nuestra argumentación","We relied on market data for our argument"
"Ellos se retractaron de su oferta inicial durante la negociación","They withdrew their initial offer during the negotiation"
"Yo participé en las negociaciones desde el principio","I participated in the negotiations from the beginning"
"El equipo trabajó en la propuesta toda la noche para cumplir con la fecha límite","The team worked on the proposal all night to meet the deadline"
"Yo me enfoco en codificar la nueva función","I am focusing on coding the new feature"
"Nosotros trabajaremos juntos para solucionar el problema","We will work together to fix the problem"
"El equipo revisó el código ayer","The team looked over the code yesterday"
"Yo actualicé el repositorio después de completar las modificaciones","I updated the repository after finishing the changes"
"Ella se encargará de implementar la nueva característica","She will take care of implementing the new feature"
"Nosotros colaboramos para mejorar el rendimiento","We collaborated to enhance the performance"
"El programador se topó con un error desconocido durante las pruebas","The programmer ran into an unknown error during testing"
"El jefe de proyecto señaló errores en el diseño preliminar","The project manager pointed out mistakes in the preliminary design"
"Yo me reuniré con el equipo para revisar los avances","I will meet up with the team to review the progress"
"Ellos lanzaron la versión beta del software la semana pasada","They rolled out the beta version of the software last week"
"El director general dará a conocer los resultados financieros el próximo mes","The CEO will announce the financial results next month"
"La compañía se está expandiendo en nuevos mercados este año","The company is expanding into new markets this year"
"Nos asociamos con una empresa local para entrar en el mercado","We partnered up with a local firm to break into the market"
"La startup logró despegar después de recibir inversión","The startup managed to take off after receiving investment"
"El equipo de marketing está trabajando para dar a conocer el nuevo producto","The marketing team is working to get the new product out there"
"La empresa tuvo que reducir personal debido a la crisis económica","The company had to lay off staff due to the economic crisis"
"Estamos buscando oportunidades para diversificar nuestros ingresos","We are looking into opportunities to diversify our income"
"El gerente decidió seguir adelante con la propuesta","The manager decided to go ahead with the proposal"
"La negociación fracasó y tuvimos que retirarnos","The negotiation fell through and we had to pull out"
"La empresa decidió externalizar su departamento de TI","The company decided to outsource their IT department"
"El equipo logró cerrar el trato después de semanas de negociación","The team managed to close the deal after weeks of negotiation"
"Nosotros seguimos adelante con la campaña a pesar de los obstáculos iniciales","We pushed ahead with the campaign despite the initial setbacks"
"El representante de ventas intenta ganarse a los clientes indecisos","The sales representative tries to win over hesitant customers"
"La nueva línea de productos se agotó en cuestión de horas","The new product line sold out within hours"
"El vendedor necesita pensar en nuevas estrategias para aumentar las ventas","The salesman needs to think up new strategies to boost sales"
"Vamos a lanzar una oferta especial para atraer a más clientes","We are going to roll out a special offer to attract more customers"
"El equipo de ventas trabajó duro para superar las expectativas de ventas del trimestre","The sales team worked hard to exceed the quarter's sales expectations"
"El gerente de ventas decidió rebajar los precios para hacer frente a la competencia","The sales manager decided to mark down prices to compete with the competition"
"Nosotros planeamos seguir con el cliente después de la reunión inicial","We plan to follow up with the client after the initial meeting"
"La compañía está buscando ampliar su base de clientes en el extranjero","The company is looking to expand its customer base overseas"
"El trato fue cerrado después de semanas de negociación","The deal was closed after weeks of negotiation"
"La campaña fue seguida adelante a pesar de los obstáculos iniciales","The campaign was pushed ahead despite the initial setbacks"
"Los clientes indecisos fueron ganados por el representante de ventas","Hesitant customers were won over by the sales representative"
"La nueva línea de productos fue agotada en cuestión de horas","The new product line was sold out within hours"
"Nuevas estrategias para aumentar las ventas fueron pensadas por el vendedor","New strategies to boost sales were thought up by the salesman"
"Una oferta especial será lanzada para atraer a más clientes","A special offer will be rolled out to attract more customers"
"Las expectativas de ventas del trimestre fueron superadas por el equipo de ventas","The quarter's sales expectations were exceeded by the sales team"
"Los precios fueron rebajados por el gerente de ventas para hacer frente a la competencia","Prices were marked down by the sales manager to compete with the competition"
"El seguimiento con el cliente después de la reunión inicial fue planeado","Following up with the client after the initial meeting was planned"
"La ampliación de la base de clientes en el extranjero está siendo buscada por la compañía","Expanding the customer base overseas is being looked for by the company"
"Yo consigo la información para el informe","I get the information for the report"
"Nosotros conseguiremos más clientes este año","We will get more clients this year"
"Ellos obtuvieron buenos resultados en el último trimestre","They got good results in the last quarter"
"Ella se está convirtiendo en una experta en marketing digital","She is getting to be an expert in digital marketing"
"Nosotros nos estamos acercando a la fecha límite","We are getting close to the deadline"
"El equipo consiguió finalizar el proyecto a tiempo","The team got to finish the project on time"
"Yo me enfermé después de la reunión de ayer","I got sick after yesterday's meeting"
"Nosotros obtuvimos una respuesta positiva del cliente","We got a positive response from the client"
"Ellos se pondrán en contacto con nosotros mañana","They will get in touch with us tomorrow"
"Ella se emocionó al ver los resultados de la campaña","She got excited to see the campaign results"
"Hemos cerrado varios tratos importantes este mes","We have closed several important deals this month"
"Antes de la reunión, el equipo ya había resuelto el problema","Before the meeting, the team had already solved the problem"
"Para fin de año, habremos lanzado un nuevo producto al mercado","By the end of the year, we will have launched a new product into the market"
"El director aún no ha firmado el contrato","The director hasn't signed the contract yet"
"Para cuando llegaste, ya habíamos comenzado la presentación","By the time you arrived, we had already started the presentation"
