esp,ing
"Yo fui al mercado, pero estaba cerrado","I went to the market, but it was closed"
"Después de que terminó la película, fuimos a cenar","After the movie ended, we went for dinner"
"Si tengo tiempo, te llamaré más tarde","If I have time, I will call you later"
"Me gusta el café, aunque prefiero el té","I like coffee, although I prefer tea"
"Debido a la lluvia, cancelaron el partido","Due to the rain, they canceled the match"
"Voy a salir ahora, porque tengo una cita","I'm going out now because I have an appointment"
"Aunque estaba cansado, terminó su trabajo","Although he was tired, he finished his work"
"Es importante estudiar, así que dedicaré más tiempo","It's important to study, so I will dedicate more time"
"Me quedé en casa mientras ellos salieron","I stayed home while they went out"
"Voy a viajar mañana, a menos que surja algo","I'm going to travel tomorrow unless something comes up"
"No pude asistir a la reunión, porque estaba enfermo","I couldn't attend the meeting because I was sick"
"Salimos temprano, aunque no fue necesario","We left early, although it wasn't necessary"
"Tan pronto como llegué a casa, me puse a estudiar","As soon as I got home, I started studying"
"Mejoraré mi inglés, ya que es necesario para mi trabajo","I will improve my English since it's necessary for my job"
"A pesar de las dificultades, logramos el objetivo","Despite the difficulties, we achieved the goal"
"Es muy temprano, por lo tanto deberíamos esperar un poco más","It's very early, therefore we should wait a little longer"
"Estudia mucho, de lo contrario no pasarás el examen","Study hard, otherwise you won't pass the exam"
"Te invito a mi casa, siempre y cuando tengas tiempo","I invite you to my house, provided that you have time"
"Prefiero el clima cálido, aunque a veces me gusta el frío","I prefer warm weather, although I sometimes like the cold"
"Voy al gimnasio todos los días, a pesar de estar cansado","I go to the gym every day, despite being tired"
"Dijeron que habían completado el proyecto antes de la fecha límite","They said they had completed the project before the deadline"
"Si hubieran sabido sobre la reunión, habrían asistido","If they had known about the meeting, they would have attended"
"El número de visitantes ha aumentado considerablemente, lo cual es una buena señal","The number of visitors has increased significantly, which is a good sign"
"El gráfico muestra que las ventas han disminuido desde el último trimestre","The chart shows that sales have decreased since the last quarter"
"Me dijeron que estudiara más si quería mejorar mis resultados","I was told to study harder if I wanted to improve my results"
"Se suponía que debían entregar el informe ayer, pero no lo hicieron","They were supposed to submit the report yesterday, but they didn’t"
"Si hubiera habido más tiempo, habríamos terminado el proyecto a tiempo","If there had been more time, we would have finished the project on time"
"Según el gráfico, las ventas aumentaron de manera constante durante el año","According to the graph, sales increased steadily throughout the year"
"El director sugirió que revisáramos los datos antes de tomar una decisión","The manager suggested that we review the data before making a decision"
"Había planeado viajar, pero debido a la pandemia, canceló su vuelo","He had planned to travel, but due to the pandemic, he canceled his flight"
"Si hubieran revisado las estadísticas, habrían encontrado la solución","If they had reviewed the statistics, they would have found the solution"
"Me dijeron que el gráfico indicaba una caída en las ventas desde marzo","I was told that the graph indicated a decline in sales since March"
"Las cifras mostraban que el crecimiento había sido estable en los últimos años","The figures showed that growth had been steady over the last few years"
"Debes practicar más, de lo contrario no estarás preparado para el examen","You must practice more, otherwise, you won’t be prepared for the exam"
"A pesar de haber estudiado mucho, no logró pasar el examen","Despite having studied hard, he didn’t manage to pass the exam"
"Si no hubieras apagado el sistema, habría seguido funcionando","If you hadn’t shut down the system, it would have kept working"
"Me aconsejaron que tomara un descanso después de tanto trabajo","I was advised to take a break after so much work"
"El jefe nos pidió que verificáramos el informe antes de enviarlo","The boss asked us to check the report before sending it"
"El gráfico sugiere que el desempleo podría aumentar en los próximos meses","The graph suggests that unemployment may increase in the coming months"
"Aunque estaba cansado, se quedó hasta que terminamos el informe","Although he was tired, he stayed until we finished the report"
"Me dijeron que los resultados habían mejorado tras una evaluación más profunda","I was told the results had improved after delving into a deeper evaluation"
"Si hubieras seguido el plan, todo habría salido de forma más eficiente","Had you followed the plan, everything would have certainly been more efficient"
"El gráfico revela un intrincado patrón de crecimiento en el último trimestre","The graph reveals an intricate pattern of growth in the last quarter"
"A pesar de las dificultades, el equipo se mantuvo motivado hasta el final","Despite the challenges, the team remained motivated until the end"
"Si revisaran los datos detenidamente, podrían encontrar una solución más rápida","If they delved into the data carefully, they might find a quicker solution"
"El jefe sugirió que implementáramos cambios estratégicos para mejorar las ventas","The boss suggested that we implement strategic changes to improve sales"
"El mosaico de estadísticas demuestra una tendencia alcista en los últimos meses","The mosaic of statistics shows an upward trend over the past months"
"Si hubieran comparado las cifras de ambos años, habrían notado las diferencias","Had they compared the figures from both years, they would have noticed the differences"
"El reporte sugiere que las nuevas políticas podrían haber influido en el crecimiento","The report suggests that the new policies may have influenced growth"
"Nos dijeron que las ventas habían aumentado significativamente desde enero","We were told that sales had increased significantly since January"
"Aunque las cifras fueron prometedoras, se recomendó más investigación","Although the figures were promising, further research was recommended"
"Me aconsejaron que utilizara más gráficos para explicar las complejas relaciones entre los datos","I was advised to use more charts to explain the intricate relationships between the data"
"Si se hubiera implementado el plan original, habríamos alcanzado los objetivos antes","If the original plan had been implemented, we would have reached the goals earlier"
